F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,Target
-282,54.09,2.91,-7.73,High,47.41,12423.04,191.12,6.62,-346.47,-72.45,6,-28.83,-2846.73,2642.96,-217.64,-1657.65,15204.51,-46.06,-1079.05,Europe,113.67,36.86,-34.67,46.41,-30.96,-2055.99,10,-2272.86,-1363.82,-52170.42,-16.99,651.76,51.9,-2399.64,-187.8,254.01
-170.84,41.25,8.91,-14.83,High,17.62,6568.94,250.88,4.5,-507.72,-71.67,5,-29.76,-2320.62,2205.9,-151.28,1840.74,16776.48,-39.56,-1342.03,USA,225.66,45.84,112.93,87.35,-22.74,-1367.33,10,-2279.49,-1104.3,-19889.1,95.38,93.58,46.82,-1814.96,-374.19,651.88
-224.08,46.02,17.1,-9.35,Medium,90.8,14669.76,76.66,1.62,-225.57,-82.38,3,-25.86,-1165.32,2156.14,-306.4,10091.43,4317.33,-36.76,-943.65,UK,109.38,47.64,-64.98,169.95,-46.92,-1590.52,8,-1270.38,-1508.36,-27407.16,121.09,735.53,36.08,-1955.82,-447.06,2535.19
-221.68,42.9,2.28,-6.76,Medium,25.61,12171.3,92.94,1.7,-714.57,-73.65,3,-8.94,-3497.46,2363.62,-280.4,5264.43,-8449.29,-40.12,-993.92,USA,19.11,72.24,335.95,161.67,-46.18,-6196.65,10,-1345.74,-988.61,-29092.83,112.39,735.53,43.48,-1688.78,-174.57,706.24
-300.56,52.38,11.67,-5.39,Very low,59.93,15667.08,155.22,45.84,-248.04,-58.08,5,-11.85,-2212.98,2404,-270.59,-1794.24,1167.9,-36.28,-1291.56,Europe,116.46,26.94,41.57,111.43,-32.84,-2545.14,6,372.06,-1385.47,-47932.59,135.37,470.91,20.48,-2391.94,-162.6,1155.66
-250.32,44.79,12.48,-57.22,Very high,20.2,20003.56,152.88,5.58,-477.6,-57.39,1,-37.62,-2066.67,2210.58,-175.16,3925.5,-6011.31,-49.46,-1800.59,Rest,160.2,44.4,-1.23,93.17,2.8,-532.12,10,-1569.96,-1337.93,-47469.99,103.42,494.82,35.18,-2066.8,-317.01,1725.7
-194.14,34.95,8.7,38.21,Low,85.93,16245.8,154.14,174.78,-375.54,-56.97,4,-24.99,-4100.67,1628.04,-213.01,8513.34,9651.15,-37.62,-777.26,Rest,213.78,49.28,-315.41,179.71,-11.4,2034.49,8,686.07,-1346.02,-40400.58,182.03,473.64,37.72,-2398.68,-179.25,3345.31
-184.54,38.76,3.66,24.62,High,56.3,12125.56,224.42,38.82,-370.14,-73.59,4,-19.05,-1697.31,2467.62,-233.79,8208.3,21855.12,-50.44,-789.38,USA,-23.85,47.14,88.56,90.66,-24.86,-3099.3,6,-414.72,-942.74,-36465.51,137.17,1051.43,29.92,-2047.2,-276.45,699.69
-215.36,54.36,6.36,47.63,Very high,58.43,19787,201.14,0.04,-440.04,-72.81,7,-30.72,-2110.74,2870.74,-159.77,2829.54,1260.18,-41.66,-1374.21,UK,85.5,22.32,-30.18,95.19,-35.14,-5160.87,6,478.41,-1518.74,-30922.68,105.15,431.66,51.06,-1554.9,-337.38,1565.41
-161.8,61.14,5.91,50.49,Low,-65.24,14312.44,224.42,0.48,-289.38,-75.75,3,-23.85,-2178.33,1721.12,-147.34,-24082.77,10819.86,-40.72,-1412.94,USA,24.81,46.94,-141.54,45.92,-44.84,1018.52,16,-770.82,-1033.44,-20042.79,73.94,357.1,67.4,-1742.58,-457.47,-142.77
-208.76,55.65,6.18,28.72,Very low,-16.31,-4648.06,168.6,502.06,-376.17,-62.76,3,-14.97,-2347.77,2339.66,-231.78,-9722.49,7091.64,-37.8,-1173.09,Europe,68.46,43.74,-713.07,105.94,-33.48,-1513.46,16,-2043.72,-1031.36,-27685.26,139.2,663.03,33.84,-2758.7,-238.53,153.71
-173.62,58.71,7.89,44.57,Medium,51.62,15002,226.76,2.04,-381.42,-69.81,4,-23.13,-3276.75,2441.5,-247.15,-3250.83,14841.09,-38.48,-1071.15,UK,195.72,47.32,-369.29,114.17,-22.78,-277.34,6,-879.36,-1730.74,-34860.48,181.13,659.35,37.34,-2426.16,-255.75,1584.7
-330.18,39.96,23.43,-18.87,Medium,46.19,6818.08,296.3,92.76,-439.02,-79.08,3,-4.68,-3354.03,2326.14,-283.31,-8712.99,12461.43,-48.82,-1722.72,Europe,99.6,44.82,221.2,89.37,-23.42,-5234.82,4,-1083.9,-1104.1,-22630.38,78.36,905.74,30.94,-1885.14,-379.65,1208.98
-304.32,54.09,11.58,-33.9,High,104.53,16637.86,155.34,0.2,-284.43,-58.56,3,-44.07,-2719.74,878.4,-169.19,1703.97,3479.85,-40.98,-1231.66,USA,27.87,37.08,291.89,104.78,-18.86,-4728.82,4,-1017.93,-476.02,-44121.78,133.3,507.46,32.22,-1018.78,-266.91,1250.2
-327.32,85.26,2.37,27.38,Low,47.96,16842.44,106.28,0,-199.68,-76.2,4,-27.54,-2082.33,3126.64,-226.25,487.35,2200.02,-43.68,-1877.67,USA,24.72,46.8,-352.76,83.31,-28.78,-3839.79,14,-1441.08,-1129.44,-29087.19,163.19,804.09,16.88,-2876.76,-234.48,-287.19
-313.34,39.06,21.87,-65.43,High,49.08,17944.68,-19.46,1.7,-369.75,-68.13,1,-16.14,-3680.1,2141.54,-221.66,16064.61,9872.88,-39.06,-1393.39,Rest,74.61,48.06,-196.91,167.52,-28.66,-5673.66,2,-1456.56,-1194.3,-50385.6,175.81,160.53,28.58,-1518.08,-308.67,3825.16
-248.96,31.5,10.53,33.07,Very low,39.82,14102.84,154.8,0.16,-335.67,-74.16,2,-16.23,-1623.96,2031.32,-263.6,1660.26,1560.48,-43.96,-1385.71,Rest,129.51,49.42,436.12,129.95,-37.84,-3205.92,2,-2690.79,-1375.42,-26576.46,69.34,179.73,33.98,-2546.56,-95.28,168.28
-161.26,32.97,13.62,14.2,Low,-15.56,21100.96,247.9,1.32,-350.97,-80.52,3,-8.94,-1685.34,2684.18,-217.08,-10184.31,-13829.79,-42.3,-1599.86,USA,188.94,61.86,-322.95,78.77,-24.28,-5226.69,12,-1219.05,-1482.05,-39018.12,81.02,-392.34,39.02,-2699.04,-242.58,-148.06
-143.24,56.76,0.63,-11.92,Medium,113.02,16562.14,181.8,189,-269.4,-67.8,4,-43.29,-2127.3,2733.52,-205.9,5103.99,8268.78,-37.36,-1201.42,Europe,246.51,43.96,3.13,92.21,-26.92,763.9,6,-1060.32,-1581.75,-26420.22,60.99,877.06,22.78,-1460.4,-371.34,2833.69
